Logging for microserv2       start 
03/16/2024, 16:14:41 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:14:42 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:14:43 FATAL:   kernel fault detected in core
03/16/2024, 16:14:43 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:14:44 WARNING:   user xxx logged in
03/16/2024, 16:14:44 WARNING:   Device working in turbo mode
03/16/2024, 16:14:45 WARNING:   Device working in turbo mode
03/16/2024, 16:14:45 WARNING:   Device working in turbo mode
03/16/2024, 16:14:45 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:14:45 WARNING:   Function called twice with mno bit
03/16/2024, 16:14:45 WARNING:   user xxx logged in
03/16/2024, 16:14:46 WARNING:   Function called twice with mno bit
03/16/2024, 16:14:47 INFO:   Function called twice with mno bit
03/16/2024, 16:14:47 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:47 INFO:   Device working in turbo mode
03/16/2024, 16:14:47 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:48 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:48 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:49 WARNING:   Got signal to peek load
03/16/2024, 16:14:49 WARNING:   Got signal to peek load
03/16/2024, 16:14:49 WARNING:   user xxx logged in
03/16/2024, 16:14:50 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:14:50 WARNING:   Got signal to peek load
03/16/2024, 16:14:50 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:51 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:14:52 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:14:52 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:14:52 INFO:   Device working in turbo mode
03/16/2024, 16:14:53 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:53 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:54 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:55 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:55 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:57 DEBUG:   Got signal to peek load
03/16/2024, 16:14:57 DEBUG:   Function called twice with mno bit
03/16/2024, 16:14:58 DEBUG:   Function called twice with mno bit
03/16/2024, 16:14:59 ERROR:   function divide by 0 abort call issued
03/16/2024, 16:14:59 ERROR:   function divide by 0 abort call issued
03/16/2024, 16:14:59 ERROR:   kernel fault detected in core
03/16/2024, 16:15:00 ERROR:   function divide by 0 abort call issued
03/16/2024, 16:15:01 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:15:02 ERROR:   kernel fault detected in core
03/16/2024, 16:15:02 ERROR:   Interrupt overflow, out of stack space
03/16/2024, 16:15:02 ERROR:   wrong memory location access corruption, reboot issued
03/16/2024, 16:15:03 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:04 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:04 WARNING:   Got signal to peek load
03/16/2024, 16:15:05 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:05 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:06 WARNING:   user xxx logged in
03/16/2024, 16:15:06 WARNING:   Got signal to peek load
03/16/2024, 16:15:06 WARNING:   user xxx logged in
03/16/2024, 16:15:07 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:08 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:09 INFO:   Function called twice with mno bit
03/16/2024, 16:15:09 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:10 INFO:   user xxx logged in
03/16/2024, 16:15:10 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:10 INFO:   Got signal to peek load
03/16/2024, 16:15:10 INFO:   user xxx logged in
03/16/2024, 16:15:11 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:12 INFO:   Device working in turbo mode
03/16/2024, 16:15:13 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:13 WARNING:   Got signal to peek load
03/16/2024, 16:15:13 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:14 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:14 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:14 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:14 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:15 WARNING:   Got signal to peek load
03/16/2024, 16:15:16 WARNING:   Device working in turbo mode
03/16/2024, 16:15:17 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:18 WARNING:   Got signal to peek load
03/16/2024, 16:15:19 WARNING:   user xxx logged in
03/16/2024, 16:15:20 WARNING:   Device working in turbo mode
03/16/2024, 16:15:20 WARNING:   Got signal to peek load
03/16/2024, 16:15:20 WARNING:   Got signal to peek load
03/16/2024, 16:15:21 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:22 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:23 INFO:   Function called twice with mno bit
03/16/2024, 16:15:23 INFO:   Got signal to peek load
03/16/2024, 16:15:23 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:24 DEBUG:   user xxx logged in
03/16/2024, 16:15:24 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:24 DEBUG:   user xxx logged in
03/16/2024, 16:15:25 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:26 DEBUG:   user xxx logged in
03/16/2024, 16:15:26 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:26 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:27 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:28 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:28 WARNING:   user xxx logged in
03/16/2024, 16:15:29 WARNING:   Device working in turbo mode
03/16/2024, 16:15:29 WARNING:   Device working in turbo mode
03/16/2024, 16:15:29 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:30 INFO:   Device working in turbo mode
03/16/2024, 16:15:31 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:32 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:32 DEBUG:   Got signal to peek load
03/16/2024, 16:15:33 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:34 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:34 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:34 DEBUG:   user xxx logged in
03/16/2024, 16:15:36 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:36 INFO:   Function called twice with mno bit
03/16/2024, 16:15:36 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:37 INFO:   Function called twice with mno bit
03/16/2024, 16:15:37 INFO:   Device working in turbo mode
03/16/2024, 16:15:38 DEBUG:   Got signal to peek load
03/16/2024, 16:15:38 DEBUG:   Got signal to peek load
03/16/2024, 16:15:39 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:39 DEBUG:   Got signal to peek load
03/16/2024, 16:15:41 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:42 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:42 DEBUG:   Got signal to peek load
03/16/2024, 16:15:42 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:43 DEBUG:   user xxx logged in
03/16/2024, 16:15:44 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:44 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:44 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:46 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:46 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:46 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:46 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:47 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:47 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:48 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:49 WARNING:   Device working in turbo mode
03/16/2024, 16:15:50 WARNING:   user xxx logged in
03/16/2024, 16:15:51 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:51 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:52 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:52 WARNING:   Device working in turbo mode
03/16/2024, 16:15:53 WARNING:   user xxx logged in
03/16/2024, 16:15:54 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:55 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:15:56 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:15:56 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:15:57 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:15:58 FATAL:   kernel fault detected in core
