Logging for microserv1       start 
03/16/2024, 16:14:42 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:43 INFO:   Function called twice with mno bit
03/16/2024, 16:14:43 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:43 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:44 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:45 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:46 INFO:   Got signal to peek load
03/16/2024, 16:14:47 INFO:   Got signal to peek load
03/16/2024, 16:14:48 INFO:   user xxx logged in
03/16/2024, 16:14:48 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:49 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:50 INFO:   Got signal to peek load
03/16/2024, 16:14:50 INFO:   user xxx logged in
03/16/2024, 16:14:51 INFO:   user xxx logged in
03/16/2024, 16:14:52 INFO:   Device working in turbo mode
03/16/2024, 16:14:52 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:14:52 INFO:   user xxx logged in
03/16/2024, 16:14:54 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:54 DEBUG:   Device working in turbo mode
03/16/2024, 16:14:54 DEBUG:   user xxx logged in
03/16/2024, 16:14:55 DEBUG:   Got signal to peek load
03/16/2024, 16:14:55 DEBUG:   user xxx logged in
03/16/2024, 16:14:55 DEBUG:   user xxx logged in
03/16/2024, 16:14:55 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:55 DEBUG:   Got signal to peek load
03/16/2024, 16:14:56 DEBUG:   Function called twice with mno bit
03/16/2024, 16:14:56 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:56 DEBUG:   Got signal to peek load
03/16/2024, 16:14:57 DEBUG:   Function called twice with mno bit
03/16/2024, 16:14:57 DEBUG:   user xxx logged in
03/16/2024, 16:14:58 DEBUG:   Got signal to peek load
03/16/2024, 16:14:58 FATAL:   kernel fault detected in core
03/16/2024, 16:14:59 FATAL:   kernel fault detected in core
03/16/2024, 16:15:00 FATAL:   kernel fault detected in core
03/16/2024, 16:15:01 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:15:02 FATAL:   kernel fault detected in core
03/16/2024, 16:15:02 FATAL:   wrong memory location access corruption, reboot issued
03/16/2024, 16:15:02 FATAL:   function divide by 0 abort call issued
03/16/2024, 16:15:03 FATAL:   kernel fault detected in core
03/16/2024, 16:15:04 FATAL:   Interrupt overflow, out of stack space
03/16/2024, 16:15:05 WARNING:   Device working in turbo mode
03/16/2024, 16:15:06 WARNING:   user xxx logged in
03/16/2024, 16:15:06 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:07 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:07 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:08 INFO:   Got signal to peek load
03/16/2024, 16:15:09 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:10 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:10 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:11 WARNING:   Device working in turbo mode
03/16/2024, 16:15:12 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:13 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:13 WARNING:   Device working in turbo mode
03/16/2024, 16:15:14 WARNING:   Got signal to peek load
03/16/2024, 16:15:15 WARNING:   Got signal to peek load
03/16/2024, 16:15:15 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:16 WARNING:   Got signal to peek load
03/16/2024, 16:15:16 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:18 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:18 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:19 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:20 DEBUG:   user xxx logged in
03/16/2024, 16:15:20 DEBUG:   Got signal to peek load
03/16/2024, 16:15:20 DEBUG:   user xxx logged in
03/16/2024, 16:15:21 DEBUG:   user xxx logged in
03/16/2024, 16:15:22 DEBUG:   user xxx logged in
03/16/2024, 16:15:23 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:23 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:23 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:24 INFO:   Device working in turbo mode
03/16/2024, 16:15:25 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:26 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:26 INFO:   Device working in turbo mode
03/16/2024, 16:15:26 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:26 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:28 WARNING:   Got signal to peek load
03/16/2024, 16:15:28 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:28 WARNING:   Got signal to peek load
03/16/2024, 16:15:29 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:30 WARNING:   Device working in turbo mode
03/16/2024, 16:15:31 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:31 INFO:   Function called twice with mno bit
03/16/2024, 16:15:32 INFO:   Device working in turbo mode
03/16/2024, 16:15:33 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:33 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:33 INFO:   Got signal to peek load
03/16/2024, 16:15:34 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:34 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:34 DEBUG:   user xxx logged in
03/16/2024, 16:15:35 DEBUG:   user xxx logged in
03/16/2024, 16:15:35 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:35 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:36 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:36 DEBUG:   Got signal to peek load
03/16/2024, 16:15:37 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:37 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:38 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:38 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:39 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:39 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:40 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:41 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:15:41 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:42 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:43 INFO:   Got signal to peek load
03/16/2024, 16:15:43 INFO:   Function called twice with mno bit
03/16/2024, 16:15:44 INFO:   Function called twice with mno bit
03/16/2024, 16:15:45 INFO:   user xxx logged in
03/16/2024, 16:15:46 INFO:   Function called twice with mno bit
03/16/2024, 16:15:46 INFO:   Got signal to peek load
03/16/2024, 16:15:46 INFO:   user xxx logged in
03/16/2024, 16:15:47 INFO:   Function called twice with mno bit
03/16/2024, 16:15:48 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:49 INFO:   Got signal to peek load
03/16/2024, 16:15:49 INFO:   Got signal to peek load
03/16/2024, 16:15:50 INFO:   Function called twice with mno bit
03/16/2024, 16:15:50 INFO:   Function called twice with mno bit
03/16/2024, 16:15:51 INFO:   Device working in turbo mode
03/16/2024, 16:15:51 INFO:   Service in healthy stage and can allocate more memory
