Logging for microserv3       start 
03/16/2024, 16:14:41 WARNING:   user xxx logged in
03/16/2024, 16:14:41 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:42 WARNING:   Device working in turbo mode
03/16/2024, 16:14:42 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:14:43 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:44 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:44 WARNING:   Device working in turbo mode
03/16/2024, 16:14:45 WARNING:   Device working in turbo mode
03/16/2024, 16:14:46 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:14:47 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:14:48 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:14:48 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:14:49 WARNING:   Device working in turbo mode
03/16/2024, 16:14:50 WARNING:   user xxx logged in
03/16/2024, 16:14:50 WARNING:   Function called twice with mno bit
03/16/2024, 16:14:51 WARNING:   Got signal to peek load
03/16/2024, 16:14:52 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:14:52 DEBUG:   user xxx logged in
03/16/2024, 16:14:52 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:53 DEBUG:   Memory allocated for jobs in queue
03/16/2024, 16:14:54 WARNING:   Function called twice with mno bit
03/16/2024, 16:14:54 WARNING:   user xxx logged in
03/16/2024, 16:14:55 WARNING:   Got signal to peek load
03/16/2024, 16:14:55 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:56 WARNING:   Got signal to peek load
03/16/2024, 16:14:57 WARNING:   Device working in turbo mode
03/16/2024, 16:14:57 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:14:58 DEBUG:   Function called twice with mno bit
03/16/2024, 16:14:59 DEBUG:   Function called twice with mno bit
03/16/2024, 16:14:59 DEBUG:   user xxx logged in
03/16/2024, 16:15:00 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:00 DEBUG:   Got signal to peek load
03/16/2024, 16:15:01 DEBUG:   Got signal to peek load
03/16/2024, 16:15:01 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:02 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:02 DEBUG:   Device working in turbo mode
03/16/2024, 16:15:03 INFO:   Got signal to peek load
03/16/2024, 16:15:04 INFO:   Got signal to peek load
03/16/2024, 16:15:04 INFO:   user xxx logged in
03/16/2024, 16:15:04 INFO:   Function called twice with mno bit
03/16/2024, 16:15:05 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:06 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:06 INFO:   user xxx logged in
03/16/2024, 16:15:06 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:07 INFO:   user xxx logged in
03/16/2024, 16:15:08 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:08 WARNING:   user xxx logged in
03/16/2024, 16:15:09 WARNING:   Got signal to peek load
03/16/2024, 16:15:10 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:11 INFO:   Got signal to peek load
03/16/2024, 16:15:11 INFO:   Function called twice with mno bit
03/16/2024, 16:15:11 INFO:   Got signal to peek load
03/16/2024, 16:15:12 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:13 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:14 WARNING:   user xxx logged in
03/16/2024, 16:15:15 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:16 WARNING:   user xxx logged in
03/16/2024, 16:15:17 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:17 WARNING:   Device working in turbo mode
03/16/2024, 16:15:18 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:18 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:18 WARNING:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:20 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:20 WARNING:   user xxx logged in
03/16/2024, 16:15:20 WARNING:   Got signal to peek load
03/16/2024, 16:15:21 WARNING:   user xxx logged in
03/16/2024, 16:15:21 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:21 WARNING:   Device working in turbo mode
03/16/2024, 16:15:22 WARNING:   user xxx logged in
03/16/2024, 16:15:23 WARNING:   Got signal to peek load
03/16/2024, 16:15:24 DEBUG:   user xxx logged in
03/16/2024, 16:15:25 DEBUG:   user xxx logged in
03/16/2024, 16:15:26 DEBUG:   Got signal to peek load
03/16/2024, 16:15:26 DEBUG:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:26 DEBUG:   Got signal to peek load
03/16/2024, 16:15:27 DEBUG:   Function called twice with mno bit
03/16/2024, 16:15:28 INFO:   Device working in turbo mode
03/16/2024, 16:15:29 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:30 INFO:   Device working in turbo mode
03/16/2024, 16:15:30 INFO:   Got signal to peek load
03/16/2024, 16:15:30 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:31 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:31 INFO:   Got signal to peek load
03/16/2024, 16:15:32 INFO:   Device working in turbo mode
03/16/2024, 16:15:33 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:34 INFO:   Function called twice with mno bit
03/16/2024, 16:15:34 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:35 INFO:   Memory allocated for jobs in queue
03/16/2024, 16:15:36 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:36 INFO:   Device working in turbo mode
03/16/2024, 16:15:36 INFO:   Function called twice with mno bit
03/16/2024, 16:15:36 INFO:   Function called twice with mno bit
03/16/2024, 16:15:37 INFO:   Device working in turbo mode
03/16/2024, 16:15:37 INFO:   Got signal to peek load
03/16/2024, 16:15:38 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:38 INFO:   Service in healthy stage and can allocate more memory
03/16/2024, 16:15:39 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:40 WARNING:   Device working in turbo mode
03/16/2024, 16:15:40 WARNING:   user xxx logged in
03/16/2024, 16:15:41 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:41 WARNING:   user xxx logged in
03/16/2024, 16:15:43 WARNING:   Device working in turbo mode
03/16/2024, 16:15:43 WARNING:   Device working in turbo mode
03/16/2024, 16:15:44 WARNING:   Memory allocated for jobs in queue
03/16/2024, 16:15:45 WARNING:   Function called twice with mno bit
03/16/2024, 16:15:46 WARNING:   Got signal to peek load
03/16/2024, 16:15:46 WARNING:   Got signal to peek load
03/16/2024, 16:15:46 WARNING:   user xxx logged in
